id rent,area,service fee
1567996,Lower East Side,18
50010781,Long Island City,85
53587476,Sunset Park,87
22776316,Harlem,81
47291256,Bedford-Stuyvesant,192
11538668,Manhattan Beach,29
57289543,Bushwick,145
27244975,Arrochar,154
6009040,Fort Greene,51
7215816,Midtown,238
24474638,Nolita,122
20228004,Gramercy,47
55390183,Cambria Heights,234
57091267,Chelsea,217
44044284,Crown Heights,159
11169731,Chelsea,113
26848976,Greenpoint,166
19413913,Midtown,105
6489541,Borough Park,169
22673588,Bushwick,26
46735090,Brownsville,80
53867492,Washington Heights,22
47534820,Upper East Side,225
20233527,Flushing,64
7472083,Upper West Side,230
49044808,South Slope,190
15347881,Kensington,240
3921898,Bedford-Stuyvesant,130
13397157,Boerum Hill,38
4663085,Williamsburg,209
17803959,Bedford-Stuyvesant,78
23357335,Crown Heights,171
26174618,Chinatown,206
56088290,Midtown,93
10469415,Bedford-Stuyvesant,206
47039959,Chinatown,90
47559674,Morningside Heights,160
6998762,Flatlands,95
8376750,SoHo,62
15625688,Harlem,59
43920017,Crown Heights,154
45524448,Westerleigh,105
52311663,Williamsburg,49
8480583,Harlem,108
52398374,Upper East Side,19
53403008,Hell's Kitchen,94
49984823,Harlem,205
55423321,East Village,181
3766702,Park Slope,194
2630621,Chelsea,129
4890080,Bushwick,212
19700005,Washington Heights,129
48304174,Lower East Side,117
46113200,East Village,86
6561340,Astoria,11
55652526,Jackson Heights,51
43737205,Bedford-Stuyvesant,79
4323973,Williamsburg,216
51130293,Bedford-Stuyvesant,30
20557727,Astoria,176
57177978,Astoria,11
57219401,Harlem,63
4446031,Astoria,22
24533734,Financial District,32
12842096,East Harlem,14
4572508,Boerum Hill,95
4036777,Williamsburg,231
20939918,Flushing,150
18457882,Crown Heights,137
24597801,Upper West Side,131
5303201,Greenpoint,221
53849818,Flatbush,226
48060058,Kensington,31
23193302,Upper East Side,172
9591258,Little Italy,21
12273227,Crown Heights,228
6055986,Astoria,42
10654988,Harlem,98
8266290,Clinton Hill,148
1364197,Bedford-Stuyvesant,98
3338117,Upper West Side,52
46893600,Harlem,69
55310652,Upper West Side,127
5453426,Clinton Hill,153
50846963,Harlem,125
43489223,Midtown,75
1709385,Chelsea,13
53022473,Chinatown,68
3381197,Upper East Side,139
26567855,Hell's Kitchen,70
55596191,Hell's Kitchen,63
17520077,Upper East Side,27
25570402,Washington Heights,145
50163216,Gowanus,238
20872538,East Village,163
51384351,Williamsburg,62
43334026,Bedford-Stuyvesant,132
12704021,Fordham,103
48112526,Hell's Kitchen,158
46907960,Jamaica,53
6185224,Greenpoint,206
12928807,Astoria,207
24822587,Upper East Side,224
21081859,Borough Park,160
45112985,Bedford-Stuyvesant,114
52962825,Bushwick,143
2580914,Williamsburg,59
22890090,Forest Hills,180
19555302,Columbia St,178
7067799,Astoria,103
22924332,Chelsea,138
8911929,Williamsbridge,83
16188481,Bushwick,143
48364375,Borough Park,57
5092222,Williamsburg,212
23665519,Williamsburg,195
3834635,West Village,67
2160061,SoHo,110
53428966,Harlem,226
51906275,Clinton Hill,159
23020985,Bushwick,213
7571497,Kensington,130
22093121,St. Albans,203
47925849,Bedford-Stuyvesant,63
6817055,Williamsburg,191
44100619,East Harlem,125
8355763,Murray Hill,27
22668065,Greenpoint,119
11346467,SoHo,72
21889322,Williamsburg,179
43241792,Gowanus,127
26203337,Bedford-Stuyvesant,84
2063961,Upper West Side,34
24509433,Williamsburg,13
53883509,Elmhurst,73
44731898,Bedford-Stuyvesant,104
16433703,Sunset Park,203
24873399,Harlem,89
9363710,Midtown,57
21112236,Long Island City,192
23379980,Williamsburg,196
14117356,East Flatbush,120
26415973,Midtown,132
21878276,Hell's Kitchen,176
5924538,Upper East Side,39
5283318,East Village,19
21256386,Williamsburg,57
10577666,Kips Bay,153
2893516,Williamsburg,202
27508975,Upper West Side,128
48605730,Inwood,121
11449747,Woodhaven,53
56050734,Bedford-Stuyvesant,35
20820069,East New York,143
5392673,Crown Heights,204
6530411,Boerum Hill,57
54445750,Bushwick,44
44179045,Midwood,74
5560020,Upper West Side,178
51743899,Upper East Side,93
17916076,Harlem,85
49853376,Jamaica,215
8551829,Williamsburg,127
6891616,Upper West Side,198
7553823,Midtown,167
26415421,Harlem,121
48441697,Chelsea,152
3729146,Lower East Side,32
10474386,Upper West Side,196
49719719,Bushwick,98
12491385,Harlem,48
19127822,Jamaica,185
55041130,Little Italy,177
51865405,Chinatown,66
26656776,Bedford-Stuyvesant,95
18398234,Harlem,104
44156401,Forest Hills,79
43112554,Williamsburg,225
26459052,Fordham,196
4055003,East Harlem,33
26576140,Crown Heights,76
11191271,Washington Heights,152
44306074,Maspeth,10
10140796,Chelsea,183
55458668,Harlem,229
3950066,Greenwich Village,156
46336882,Lower East Side,108
51744451,Harlem,103
23800832,Elmhurst,41
5430230,Manhattan Beach,152
49588272,NoHo,75
48908390,Long Island City,61
26200576,Crown Heights,76
7308050,Long Island City,189
18697580,Cypress Hills,77
8040952,Bedford-Stuyvesant,131
11491170,Red Hook,62
3207775,Williamsburg,146
44134309,Richmond Hill,63
15424651,East Village,18
4349379,Chelsea,60
12832154,Rockaway Beach,61
6410010,Park Slope,217
18694267,Lower East Side,203
14489607,Fresh Meadows,186
42997123,Bedford-Stuyvesant,53
55666885,Ditmars Steinway,240
10449532,Hell's Kitchen,127
54947239,Fort Greene,36
10136930,Roosevelt Island,229
9548179,Crown Heights,96
11157028,Bushwick,98
53238422,Sunset Park,233
48530617,Crown Heights,104
50107434,East Harlem,134
19867352,Edenwald,228
14524954,West Village,152
48049564,Sheepshead Bay,20
20514647,Greenpoint,41
12348340,Crown Heights,154
2335693,Brighton Beach,102
21121625,Williamsburg,217
14057156,Upper East Side,99
19901042,Hell's Kitchen,143
47078620,Lower East Side,210
55126184,Upper East Side,114
55825948,St. Albans,17
45735979,Red Hook,115
21774996,Williamsburg,147
27031787,Fort Hamilton,50
56796339,Astoria,121
4380307,Chinatown,61
53333970,Williamsburg,128
4426701,Boerum Hill,146
4513964,Bedford-Stuyvesant,167
8080717,Williamsburg,188
15154024,Williamsburg,108
53248916,Greenwich Village,78
6522127,Bushwick,186
23470557,Theater District,212
9072648,Washington Heights,124
12062800,Midtown,205
1561921,Crown Heights,150
56012073,Lower East Side,135
53008113,West Village,154
12742682,Astoria,93
48161681,Upper West Side,214
20513543,Washington Heights,75
8472850,Washington Heights,188
19073697,West Village,153
48037966,Maspeth,219
2731692,Upper West Side,62
55133916,Bushwick,22
7891279,Williamsbridge,204
26737964,Bedford-Stuyvesant,91
10221985,DUMBO,134
8588833,Edgemere,72
54584930,Lower East Side,162
16775024,Bedford-Stuyvesant,110
44300551,Hell's Kitchen,146
52629235,Red Hook,164
53104766,Flatlands,221
27347703,Greenpoint,195
48541111,Astoria,154
45614473,Bedford-Stuyvesant,99
8679411,Bedford-Stuyvesant,44
51732853,Upper West Side,139
52428751,Williamsburg,164
23280013,Bedford-Stuyvesant,65
14446527,Downtown Brooklyn,10
5375552,Morningside Heights,159
54362353,Williamsburg,48
4531638,Park Slope,41
6946846,Williamsburg,213
48527303,Sunnyside,66
48171622,Harlem,130
10685364,Carroll Gardens,116
48586952,Bushwick,40
25160595,Williamsburg,31
8411545,South Slope,205
12859217,Chelsea,217
51596434,Midtown,138
20005427,Ridgewood,85
15379362,Highbridge,14
4999436,East Village,56
18234201,Williamsburg,46
52256433,Little Italy,106
17927122,Chinatown,11
50112404,Bushwick,83
55634300,NoHo,16
14394059,Crown Heights,132
53862521,East Village,125
27899451,Bedford-Stuyvesant,151
52901519,Chelsea,209
53626689,Greenpoint,157
50574127,Harlem,40
20881375,South Slope,62
20037460,Bushwick,225
43159500,Upper West Side,121
7984065,Lower East Side,233
5740070,Bedford-Stuyvesant,138
4235053,Bedford-Stuyvesant,75
3513196,Astoria,95
46179476,Middle Village,49
21346411,Bushwick,226
7299213,Cobble Hill,212
5941660,Midtown,219
55149380,St. Albans,66
50177023,Williamsburg,34
7562108,Williamsburg,213
50232806,Gowanus,127
5476071,Upper East Side,101
52505520,East Elmhurst,191
25718970,Washington Heights,109
46534605,Howard Beach,154
9944730,East Village,88
48927721,South Slope,126
3189549,Greenpoint,75
47315005,Bedford-Stuyvesant,180
8314340,Upper West Side,45
2497517,Greenpoint,15
52031647,Bedford-Stuyvesant,227
23412565,Harlem,185
48510734,Corona,149
7402493,Williamsburg,203
57023334,East Harlem,60
3687171,Upper West Side,107
44732450,Washington Heights,145
23255712,Astoria,123
9158807,Chelsea,58
47873932,Midtown,113
26467337,SoHo,35
4375337,Van Nest,234
49012223,Hell's Kitchen,127
3872744,Tribeca,14
25316344,Ditmars Steinway,40
54946134,Upper West Side,173
3755656,Crown Heights,206
50316755,Bushwick,92
26558466,Hell's Kitchen,28
3020545,Upper East Side,37
9543760,Hell's Kitchen,84
56805176,Upper West Side,39
18891990,Bushwick,99
6449223,Bushwick,191
6753541,Upper East Side,28
24070907,Schuylerville,219
44009489,Williamsburg,193
15920064,Long Island City,220
55162083,Lower East Side,153
14880083,Downtown Brooklyn,73
23065721,Long Island City,135
10087776,Financial District,100
5774865,Williamsburg,41
9582421,Hell's Kitchen,64
48100928,Hell's Kitchen,225
12776372,Gramercy,205
12648238,Williamsburg,120
55899404,Bushwick,128
17687424,Harlem,200
26899235,Fort Greene,92
1312833,Sunnyside,185
51791396,Upper East Side,115
52414391,Chelsea,180
9962956,Flatbush,45
9600647,Prospect Heights,200
15643914,Murray Hill,13
26359086,Midtown,31
53143427,Kips Bay,170
48429546,Kew Gardens,18
16499426,Bedford-Stuyvesant,189
50576336,Astoria,229
7179364,Randall Manor,72
12850933,Springfield Gardens,129
2071141,Carroll Gardens,15
18911873,Bedford-Stuyvesant,85
8591043,Harlem,86
2478186,Astoria,206
13784320,Rosedale,142
23466691,Belle Harbor,119
20303116,Upper West Side,74
21119416,Port Morris,171
3991488,Upper West Side,35
50243299,Sheepshead Bay,75
10677632,Upper East Side,150
25692460,Midtown,193
4618349,East Village,71
50927047,Harlem,80
54345784,Chelsea,11
21970510,East Village,237
23751125,Harlem,87
4824909,Lower East Side,127
27000859,Financial District,179
26174065,Greenpoint,168
54288897,Washington Heights,67
47451423,Harlem,106
1529887,Bedford-Stuyvesant,59
12327352,Fort Greene,35
15734491,Bedford-Stuyvesant,235
7675882,Williamsburg,130
12129076,Prospect Heights,211
24270840,Upper West Side,234
8565085,Astoria,21
48042936,Park Slope,14
10344043,Upper West Side,230
15930005,Bedford-Stuyvesant,190
55117899,Harlem,139
49927936,Upper East Side,216
25821146,Williamsburg,24
53953651,Kew Gardens Hills,193
8176818,Williamsburg,99
11251472,Sunnyside,82
6595030,Bedford-Stuyvesant,83
22134543,East Harlem,51
20274949,Bushwick,221
8211613,Long Island City,209
46490973,Upper East Side,41
48386467,West Village,53
46989148,Williamsburg,139
12487519,East Elmhurst,92
44586091,Kips Bay,135
20209778,Williamsburg,46
27249946,Flatbush,108
18779873,East Elmhurst,229
48815052,Lower East Side,225
1120633,East Village,218
16802087,East Harlem,98
55076477,Williamsburg,92
26139271,Jamaica,34
18494334,Woodside,68
27624405,Kips Bay,55
44912500,Financial District,172
24415542,Bushwick,186
9124012,Cobble Hill,61
8547963,Bedford-Stuyvesant,194
19184709,Upper West Side,102
24758521,Dongan Hills,86
18579388,South Ozone Park,82
21101742,Bedford-Stuyvesant,137
14924267,Harlem,94
53954203,Williamsburg,227
10052428,Ditmars Steinway,159
18557296,Hell's Kitchen,97
25952041,Flushing,86
19997695,Hell's Kitchen,220
3920794,Greenwich Village,134
1994371,Elmhurst,110
48273245,Inwood,44
56351737,Fort Greene,32
50538228,Williamsburg,198
7691346,Williamsburg,157
17518972,East Village,55
20912303,Williamsburg,83
21297809,Kensington,100
20989073,Long Island City,56
17134571,Crown Heights,126
21273508,Bay Ridge,131
16309987,Ditmars Steinway,46
51129189,Harlem,240
22978458,Fort Greene,14
4632709,Washington Heights,91
55940826,Morningside Heights,129
47522117,Prospect Heights,134
45610607,Canarsie,68
3068595,Williamsburg,128
11656860,Astoria,179
53936530,Borough Park,205
19450918,Upper East Side,64
21176855,Mott Haven,167
21634712,Williamsburg,125
10144663,Upper West Side,44
5848873,Williamsburg,201
17209684,Norwood,174
7899563,Murray Hill,232
16011193,Harlem,15
43502478,Corona,87
56841075,Red Hook,23
11400593,Hell's Kitchen,237
49769426,Bushwick,14
52319395,Crown Heights,121
54429181,Sunset Park,196
8531947,Flushing,42
17418454,Long Island City,11
17342236,Williamsburg,62
14197440,West Village,146
10813498,Murray Hill,227
14420017,Prospect-Lefferts Gardens,153
16099009,Flatbush,172
53183745,Fresh Meadows,160
7156167,Elmhurst,233
54555658,Williamsburg,135
24614370,Midtown,132
47681732,Hell's Kitchen,114
15833353,Crown Heights,202
12552691,Astoria,134
2714018,Williamsburg,229
1101302,Fort Greene,21
2054572,Astoria,139
1716012,Carroll Gardens,145
21560704,Bushwick,187
51128084,Flatbush,184
53954755,Bushwick,94
12780238,Rosedale,191
3042085,Bushwick,181
53843743,Borough Park,100
48403036,Bushwick,184
11459137,Corona,68
6120052,Washington Heights,50
25919455,Upper West Side,34
44455195,NoHo,159
2952060,Greenpoint,74
24016229,Bushwick,195
1317252,Emerson Hill,126
19147705,Jamaica Estates,174
8752314,Flatbush,141
21187349,SoHo,45
7709572,Williamsburg,109
19120090,Bushwick,79
44538040,Crown Heights,165
4696223,Bushwick,35
7868082,Corona,94
2660998,Upper West Side,20
18355707,Woodhaven,48
44502141,Bushwick,49
54801984,Bedford-Stuyvesant,35
4537161,Fort Greene,51
21274612,Bay Ridge,97
46947725,Wakefield,165
56816222,Sunnyside,19
23429134,Greenpoint,146
47129432,Nolita,35
26079070,East Harlem,103
48308040,Williamsburg,224
44269070,Flatbush,97
3735221,West Village,18
3203356,Bushwick,143
45430557,East Village,79
50070982,Bedford-Stuyvesant,207
6431550,Harlem,63
19352056,Jamaica,187
43350043,East Flatbush,111
13193911,Williamsburg,225
3947857,Bushwick,149
9825985,Crown Heights,81
10710218,Upper West Side,177
6870076,Upper East Side,45
5762714,Williamsburg,135
49762246,Bedford-Stuyvesant,55
2010388,Bushwick,78
42957910,West Village,144
22311279,Ridgewood,175
11060376,East Elmhurst,79
26612592,Sunnyside,52
53089301,East New York,97
10773732,Theater District,189
20137979,Astoria,127
2605768,Upper West Side,59
9141686,Williamsburg,97
8841787,Crown Heights,116
5541242,Crown Heights,172
43505239,Bushwick,142
51763229,Flushing,138
18767722,Upper West Side,55
6438177,South Slope,54
50138362,Two Bridges,147
55974517,Forest Hills,142
17917733,Bedford-Stuyvesant,88
2997901,Bushwick,153
25691355,Oakwood,81
1434892,Greenpoint,212
19203487,Greenwich Village,169
50797256,East Village,188
18276175,Harlem,217
3760627,Harlem,208
3927974,Crown Heights,214
51006578,East Flatbush,136
50683483,Arrochar,142
27801694,Park Slope,82
49783786,Upper West Side,129
2204245,Prospect-Lefferts Gardens,21
21137089,Bedford-Stuyvesant,192
1765167,East Village,13
24343743,Murray Hill,116
24335459,Mariners Harbor,182
16122205,Harlem,149
3187339,Fort Greene,27
23231411,Chelsea,235
44515396,Washington Heights,212
23706941,Bedford-Stuyvesant,117
9395744,Flatbush,48
15651646,Flushing,39
49019955,Midwood,217
51818459,Bushwick,139
51265054,Bushwick,112
19373596,Bushwick,162
55627672,Bayside,223
4872959,Roosevelt Island,13
20953726,Crown Heights,127
53750404,Financial District,222
43138512,St. George,13
52259194,Hell's Kitchen,23
15746641,Jamaica,160
4416207,Inwood,71
55544827,Sunnyside,165
48442249,Hell's Kitchen,70
6981640,Harlem,240
8333119,Bushwick,12
6014011,Upper West Side,62
23361202,Chelsea,204
26772206,Bedford-Stuyvesant,62
44639664,Huguenot,194
9430539,Washington Heights,76
4615035,Williamsburg,85
25338436,Williamsburg,108
47282971,Woodside,84
50030112,Murray Hill,208
3528109,Park Slope,70
12998397,Harlem,74
17791256,Glendale,76
8289487,East Harlem,139
4017999,Astoria,131
10908493,Midtown,20
8034877,Bushwick,189
10160679,Brooklyn Heights,100
1202926,Williamsburg,193
42954596,Midtown,46
8781034,Hell's Kitchen,222
48980742,Crown Heights,33
5568305,East Village,116
11454166,Harlem,115
47850184,East Village,55
47822016,Flatiron District,48
21956150,Upper East Side,148
46515274,Ditmars Steinway,63
3600460,Crown Heights,199
5945526,Williamsburg,205
4682416,Midtown,173
44414878,East Harlem,226
44526994,Far Rockaway,156
20837191,Bushwick,45
53102557,Ridgewood,18
14434377,Bushwick,41
23436867,West Village,84
8005052,Boerum Hill,44
9349903,Bushwick,175
15704667,Harlem,27
45972916,Midtown,105
18839521,Bushwick,179
9735961,East Village,60
48268827,Williamsburg,48
1866790,Greenpoint,53
8966607,Inwood,83
6620989,Harlem,238
44982642,Harlem,122
18733480,Schuylerville,104
15986892,Red Hook,165
17649315,Williamsburg,207
13539651,Fort Greene,84
56260056,Lower East Side,227
56294851,Midtown,205
9921533,South Slope,140
10476043,Crown Heights,220
43881356,Clinton Hill,79
9148866,Bedford-Stuyvesant,53
6898243,Prospect Heights,220
20705743,Fort Greene,78
11636425,Woodside,150
56867586,Elmhurst,85
9118489,Murray Hill,219
21436988,Jackson Heights,15
50203534,Windsor Terrace,139
53068314,Crown Heights,188
2764830,Bushwick,174
6068689,Upper East Side,135
22903897,Arrochar,165
19428273,East Harlem,38
9484112,Harlem,56
22151665,Financial District,67
4895603,Harlem,52
15322475,Bushwick,139
51050210,East Elmhurst,92
8119378,Lower East Side,31
54325349,Harlem,222
47407239,East New York,36
15367764,Hell's Kitchen,70
3536393,Upper West Side,166
25131323,Lower East Side,73
19101864,Williamsburg,74
14603933,Ditmars Steinway,233
3924660,Bedford-Stuyvesant,181
48547186,Manhattan Beach,98
4919905,Fort Greene,211
46511408,Sunnyside,185
44719747,South Slope,177
6419951,East Village,66
25069465,West Village,168
14083114,Bedford-Stuyvesant,60
46060179,Morris Park,226
55011305,Lower East Side,77
22925437,Astoria,104
53642706,Harlem,15
1249319,Williamsburg,50
8367913,Jackson Heights,61
21013374,Sheepshead Bay,137
20224138,East Harlem,11
25561012,Long Island City,201
24259794,Bushwick,114
48632240,Bensonhurst,130
3103942,Upper East Side,49
55835889,Borough Park,107
47411105,East Harlem,22
48559337,Chelsea,216
55143857,Harlem,134
9392430,Longwood,192
1346524,Lower East Side,123
46567743,Bensonhurst,47
23974255,Greenpoint,106
13545174,Gowanus,80
20213644,East Harlem,59
20101527,Dyker Heights,36
52579528,Flushing,67
48913913,Chelsea,89
53882404,Chinatown,36
3059758,Park Slope,28
1683427,Flatiron District,24
56243487,Harlem,40
13526395,Williamsburg,36
5278347,Bedford-Stuyvesant,23
6259232,Bushwick,77
5751668,Lower East Side,86
2975809,Greenwich Village,65
11226066,Bedford-Stuyvesant,57
18947772,Williamsburg,188
6368035,Williamsburg,183
7144017,Harlem,234
13984252,East New York,42
57131585,East New York,39
15087195,Borough Park,204
13111066,Coney Island,184
26504893,Greenpoint,140
2197618,West Village,136
56110935,Boerum Hill,172
21083516,Chelsea,76
7019749,Financial District,35
48782466,Williamsburg,142
55063222,Harlem,200
15013739,Crown Heights,41
20242916,Jamaica Estates,34
27211285,Bedford-Stuyvesant,196
6517708,Lower East Side,199
15051848,Harlem,107
42864571,Bedford-Stuyvesant,24
15642257,Murray Hill,172
11402250,Sunnyside,125
8000082,Kips Bay,54
44064167,Bedford-Stuyvesant,130
23937803,Williamsburg,136
10959857,Sunnyside,178
13777140,Harlem,75
7430108,Crown Heights,37
1989401,Williamsburg,62
51093289,Harlem,113
15556098,Bedford-Stuyvesant,213
27217912,Greenpoint,161
5859919,Chelsea,11
8571712,Flatbush,20
57061995,Bedford-Stuyvesant,68
52455261,Bushwick,135
25447239,Concourse,131
9183108,Elmhurst,56
27619435,Greenwich Village,50
24576814,Chinatown,209
46413651,Hell's Kitchen,71
7805120,East Village,49
24279124,Inwood,179
10954887,Chelsea,80
2617366,Harlem,112
8578892,Upper East Side,24
6951816,Williamsburg,26
23686506,East Elmhurst,178
51131950,Cobble Hill,185
3784928,East Harlem,50
3799840,Greenpoint,230
10856025,East Village,45
2556061,Woodside,112
54499323,Chelsea,235
13625257,Harlem,111
23894723,Financial District,21
5707484,Prospect Heights,42
49211051,Upper East Side,78
21207784,Midwood,117
9356530,Upper East Side,172
47066470,Williamsburg,120
4402952,Williamsbridge,77
50653658,Concord,109
53519543,Upper West Side,50
3506569,Williamsburg,228
8388901,Greenpoint,160
19060994,Bushwick,60
3116645,Chelsea,47
27100825,Bedford-Stuyvesant,34
3810886,Midtown,93
11756274,Bedford-Stuyvesant,223
3143155,Hell's Kitchen,64
43136855,Midtown,109
43252838,Sheepshead Bay,194
47772309,Harlem,189
10532377,Harlem,94
19589545,Bushwick,72
43208102,Woodside,150
3069700,Upper East Side,42
4062183,Norwood,157
1514423,Lower East Side,92
6380186,Bedford-Stuyvesant,196
1481837,Bedford-Stuyvesant,130
3000662,Theater District,56
2618470,Maspeth,166
19703871,Hell's Kitchen,192
2573182,Williamsburg,102
24221133,East Village,142
22774659,Upper East Side,237
19873979,Borough Park,184
12621728,Chelsea,205
55676275,Bushwick,220
5661643,Chelsea,204
1660782,Morris Heights,147
43032471,Jamaica,139
53859208,Upper West Side,111
51504200,Kensington,126
48150635,Chinatown,197
43262227,Brooklyn Heights,214
44603764,Midtown,45
11092409,Bedford-Stuyvesant,97
14985572,Upper West Side,225
27320640,Hell's Kitchen,229
7260552,Harlem,116
7353891,Upper East Side,44
25145131,Borough Park,103
42913174,Ridgewood,123
21666745,East Village,240
24961767,SoHo,68
23948849,Bedford-Stuyvesant,44
45521687,Boerum Hill,126
21911966,Rosedale,73
20960353,Windsor Terrace,96
6073659,Sunnyside,138
10084462,Williamsburg,137
3568426,Upper East Side,22
9998855,East Village,189
47104026,East Flatbush,54
14246595,Bedford-Stuyvesant,75
43920569,Bedford-Stuyvesant,36
8827979,Harlem,153
49501008,Financial District,173
45118508,Windsor Terrace,234
26408793,Hell's Kitchen,112
56023671,West Village,165
43303650,Harlem,127
57300037,Huguenot,194
16884932,Bedford-Stuyvesant,110
51161222,East Harlem,214
47571272,East Village,176
19029513,Gramercy,47
54393282,Bedford-Stuyvesant,222
20109259,Bushwick,110
54357382,Lower East Side,105
4162701,Bushwick,118
8725804,Bushwick,148
57272422,Woodhaven,176
25152863,Financial District,209
47274135,Harlem,160
25276026,Astoria,200
44245321,Bushwick,168
57258614,Hell's Kitchen,181
2209768,Crown Heights,58
1674037,Harlem,216
47482352,Murray Hill,111
4579135,Greenpoint,25
2055677,Flushing,146
56532340,Bushwick,207
17868578,Lower East Side,97
18368410,Bushwick,52
7267180,Theater District,82
3925212,Long Island City,112
53113603,Woodhaven,48
50198563,Williamsburg,209
48332341,Upper East Side,130
5748355,Hell's Kitchen,136
9691777,Williamsburg,209
52763997,East Village,88
4070467,Washington Heights,157
8340851,Upper West Side,23
45974573,Crown Heights,109
57067518,Hell's Kitchen,117
13090078,Fresh Meadows,11
6693892,Fort Greene,93
5200473,Williamsburg,88
56173897,Harlem,110
24841918,Bushwick,172
1909870,Gramercy,219
12528942,East Harlem,125
3857279,Bushwick,223
24227208,Bedford-Stuyvesant,228
14856334,Cypress Hills,154
7923864,Astoria,37
50342161,Williamsburg,75
52956197,Ridgewood,206
27061059,Greenpoint,192
10915121,Crown Heights,12
11247053,Richmond Hill,30
3750685,Harlem,223
20415786,Crown Heights,122
54271776,Lower East Side,21
3283440,Chinatown,115
15991863,Harlem,28
45861904,East Harlem,41
24982754,East Village,204
49186197,Harlem,137
25628393,Mott Haven,16
8175713,Harlem,43
2018673,East Village,81
50201325,Harlem,50
22856399,Astoria,75
47731991,East Village,137
21687180,Edenwald,20
13541860,Bedford-Stuyvesant,59
11818684,Bedford-Stuyvesant,35
46476613,East Elmhurst,232
16701016,Washington Heights,62
4469228,Bedford-Stuyvesant,193
46669918,Hell's Kitchen,114
45158826,Crown Heights,215
45071562,Bedford-Stuyvesant,167
21015583,SoHo,210
16480648,Williamsburg,110
18286117,Harlem,217
48858683,Prospect Heights,40
13423115,Flushing,146
47791640,East Elmhurst,223
16829149,Crown Heights,80
2773114,Astoria,152
43397541,Williamsburg,153
52713737,Williamsburg,120
23154089,Bedford-Stuyvesant,77
12887384,Astoria,215
1681770,East Harlem,107
15870357,Cobble Hill,227
2663207,Crown Heights,179
2732797,Hell's Kitchen,85
17778001,Jackson Heights,106
51265607,Lower East Side,142
48426232,Murray Hill,187
55070954,Bedford-Stuyvesant,37
15415261,Prospect Heights,11
13573341,East Flatbush,26
50001392,Civic Center,225
7764802,West Village,177
55920391,Harlem,213
57074698,West Village,204
43085491,Washington Heights,139
44617572,Inwood,180
50113509,Theater District,133
24925315,Financial District,35
55924810,East Harlem,57
20173326,Bushwick,79
55761881,West Village,162
4541027,Harlem,48
15218090,Midtown,168
1871761,Bedford-Stuyvesant,69
45882891,West Village,69
44676115,Upper East Side,169
9824881,East Flatbush,150
12845410,Hell's Kitchen,207
13479450,Bedford-Stuyvesant,202
2887441,Sunnyside,155
48947604,Prospect Heights,30
1425502,Upper East Side,23
12131838,Bedford-Stuyvesant,108
42947969,Boerum Hill,240
22052251,Morningside Heights,215
21277926,Theater District,235
3196176,Harlem,175
18434686,Washington Heights,224
7973019,Stapleton,102
21045960,Bedford-Stuyvesant,78
6523231,East Village,27
55622701,Morris Park,172
9047795,Prospect-Lefferts Gardens,205
19229998,Upper West Side,23
25068913,Washington Heights,198
4402399,Park Slope,27
24740295,Upper West Side,133
2460513,Upper East Side,154
1632615,Windsor Terrace,37
16421552,Ridgewood,55
3033248,Williamsburg,87
3656794,Williamsburg,59
23643979,Bedford-Stuyvesant,84
11328794,Upper West Side,154
26396090,Upper East Side,32
5120389,Murray Hill,74
1803828,Gramercy,137
44080184,Bedford-Stuyvesant,148
48061714,Bedford-Stuyvesant,71
19091923,Flatbush,226
12101461,Lower East Side,15
2986302,Bushwick,218
26874382,Greenwich Village,180
18034268,Williamsburg,108
44929621,Greenpoint,81
48057296,Midtown,114
11851270,Theater District,230
43240688,West Village,126
1242139,Astoria,93
44852851,Bushwick,196
15280500,Hell's Kitchen,65
8117169,Hell's Kitchen,181
24180815,East New York,177
55478551,Springfield Gardens,156
4353245,Harlem,19
48565412,Washington Heights,191
48169965,Midtown,224
23395996,Kensington,127
47570720,Jackson Heights,112
49828522,Clinton Hill,29
49679401,East Village,158
24756864,Ridgewood,151
21466813,Ozone Park,203
7047364,Lower East Side,168
12562632,Richmond Hill,63
1822606,Flatbush,201
43244002,Nolita,156
14688435,Harlem,172
9057736,Upper East Side,186
54315407,Midtown,92
17087626,Harlem,16
7043498,Williamsburg,232
8840130,Harlem,134
43513524,Harlem,110
23656682,Upper West Side,168
7209740,West Village,112
56572105,East New York,191
25290938,Astoria,72
52971109,East Village,125
43700201,Bedford-Stuyvesant,160
20435116,Mariners Harbor,218
53012532,East Flatbush,120
56112039,Boerum Hill,233
3126034,Theater District,14
45491310,East Flatbush,191
53974086,Bushwick,195
9444346,Lower East Side,74
15394274,Greenpoint,86
7901220,Chelsea,131
15741671,Washington Heights,229
22584668,Astoria,177
6592821,Prospect-Lefferts Gardens,224
26894817,Upper West Side,27
2268865,Chelsea,78
46159593,Canarsie,73
27288607,Bushwick,94
21159181,Williamsburg,86
6426579,Upper West Side,93
51477138,Greenpoint,196
11138803,Bedford-Stuyvesant,53
43514076,Prospect-Lefferts Gardens,178
48062267,Williamsburg,108
8339746,Flatbush,25
49266833,Ridgewood,13
23773217,Upper East Side,52
4552073,Harlem,191
55234987,Bushwick,199
9809416,Chelsea,99
49592138,Bushwick,141
2943775,Williamsburg,223
53660932,Bedford-Stuyvesant,170
18731823,Bedford-Stuyvesant,164
18906902,Park Slope,221
6051015,Harlem,169
