id rent,area,availability
6585641,Bushwick,336.0
43471549,Park Slope,21.0
22845906,Brownsville,66.0
44070637,Hell's Kitchen,363.0
7815721,Greenpoint,143.0
7003713,East Village,199.0
29332879,Upper East Side,167.0
33381114,Bushwick,9.0
24174603,Harlem,255.0
23882020,Financial District,335.0
53966354,SoHo,300.0
44968834,Boerum Hill,8.0
47689464,Upper East Side,317.0
3544125,Washington Heights,106.0
26882114,Van Nest,342.0
18318484,Rego Park,355.0
7068352,West Village,154.0
43163366,Williamsburg,279.0
53845884,Corona,315.0
11985539,East Harlem,192.0
38457328,East Village,310.0
4029045,Harlem,36.0
42332006,Harlem,267.0
8604011,Bedford-Stuyvesant,155.0
11845194,East Flatbush,85.0
44539904,Harlem,75.0
56655640,Flatbush,32.0
33412646,Hell's Kitchen,199.0
7946509,Astoria,94.0
56727301,Kensington,141.0
12006323,Bushwick,87.0
54458408,Upper East Side,51.0
45453754,Williamsburg,110.0
47501130,Midtown,198.0
12733293,Bay Ridge,55.0
20123642,Hell's Kitchen,149.0
42243363,Gramercy,274.0
41473925,Bedford-Stuyvesant,304.0
44840102,Prospect Heights,349.0
33859909,Lower East Side,96.0
32028840,Bushwick,334.0
34656996,Jamaica,188.0
46015443,Jackson Heights,288.0
13006129,Williamsburg,297.0
19834766,Bedford-Stuyvesant,75.0
11851822,Prospect-Lefferts Gardens,35.0
55470267,Jamaica,26.0
2076112,Washington Heights,367.0
35957213,Harlem,134.0
2413567,Prospect Heights,138.0
49229829,East Flatbush,189.0
46896361,Bushwick,364.0
23907163,Williamsburg,304.0
1971048,Theater District,330.0
27316774,Harlem,266.0
7072912,Port Morris,11.0
47024806,Lower East Side,160.0
53480889,Theater District,326.0
54386102,Bedford-Stuyvesant,332.0
32264144,Jackson Heights,263.0
10746670,Hell's Kitchen,178.0
57311083,Lower East Side,14.0
52537001,Jackson Heights,126.0
42930847,Upper East Side,49.0
14971212,Harlem,72.0
33019729,Williamsburg,207.0
19255119,Midtown,57.0
22764838,Jackson Heights,233.0
47958434,Flatbush,28.0
43857607,Harlem,326.0
16935191,Fordham,90.0
43598026,Lower East Side,341.0
51226393,Murray Hill,365.0
4443497,Crown Heights,284.0
11680609,Sheepshead Bay,62.0
13795352,East Village,36.0
26096761,Astoria,10.0
26699188,Hunts Point,271.0
16393416,Bushwick,276.0
47150333,Bushwick,297.0
7419183,East Village,250.0
6949607,East Village,278.0
37706148,Inwood,32.0
18628659,Bushwick,115.0
18025865,East Harlem,258.0
56773175,East Flatbush,346.0
51263810,Middle Village,55.0
39735082,Williamsburg,84.0
19915954,East Flatbush,123.0
53585267,Downtown Brooklyn,8.0
43488368,Roosevelt Island,47.0
11046568,Flushing,335.0
24827006,Chinatown,82.0
40761818,Financial District,19.0
4374784,Theater District,355.0
51253456,Washington Heights,14.0
54623616,West Village,308.0
18308209,Sheepshead Bay,156.0
15686196,Canarsie,53.0
25050032,Financial District,188.0
48158446,Bedford-Stuyvesant,285.0
45211721,East Village,283.0
39987196,Upper West Side,163.0
48718951,Harlem,393.0
3800945,Sunset Park,242.0
17431666,Williamsburg,302.0
16832463,East Village,14.0
52551913,Highbridge,17.0
6925858,Bushwick,41.0
48046250,Bushwick,129.0
14163845,Bedford-Stuyvesant,334.0
22153430,East Harlem,18.0
31774833,Upper East Side,352.0
9995961,Flatbush,76.0
9973738,Williamsburg,179.0
47126301,Lower East Side,72.0
